관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2022,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2023,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-18 ,북구 금녕길 42,1,200만,360도,30일,2024,35.17271,126.930601,2025-12-31
광주광역시 사회재난과,북구 두암동 828-26,북구 금녕길 56,2,200만,360도,30일,2022,35.17412,126.930837,2025-12-31
광주광역시 사회재난과,북구 두암동 831-6,북구 동문대로112번길 94,2,200만,360도,30일,2022,35.174778,126.930125,2025-12-31
광주광역시 사회재난과,북구 두암동 831-6,북구 동문대로112번길 94,1,200만,360도,30일,2022,35.174778,126.930125,2025-12-31
광주광역시 사회재난과,북구 두암동 843-8,북구 동문대로112번길 27,2,200만,360도,30일,2022,35.173539,126.926685,2025-12-31
광주광역시 사회재난과,북구 두암동 843-8,북구 동문대로112번길 27,2,200만,360도,30일,2024,35.173539,126.926685,2025-12-31
광주광역시 사회재난과,북구 두암동 865-14,북구 서방로181번길 39,1,200만,360도,30일,2018,35.170718,126.931869,2025-12-31
광주광역시 사회재난과,북구 두암동 865-14,북구 서방로181번길 39,1,200만,360도,30일,2022,35.170718,126.931869,2025-12-31
광주광역시 사회재난과,북구 두암동 865-14,북구 서방로181번길 39,1,200만,360도,30일,2023,35.170718,126.931869,2025-12-31
광주광역시 사회재난과,북구 두암동 865-14,북구 서방로181번길 39,1,200만,360도,30일,2024,35.170718,126.931869,2025-12-31
광주광역시 사회재난과,북구 두암동 87-1,북구 삼정로 106-1,2,200만,360도,30일,2022,35.171419,126.937365,2025-12-31
광주광역시 사회재난과,북구 두암동 87-1,북구 삼정로 106-1,2,200만,360도,30일,2022,35.171419,126.937365,2025-12-31
광주광역시 사회재난과,북구 두암동 877-14,북구 금녕길 13-1,3,200만,360도,30일,2019,35.170549,126.928681,2025-12-31
광주광역시 사회재난과,북구 두암동 877-14,북구 금녕길 13-1,1,200만,360도,30일,2024,35.170549,126.928681,2025-12-31
광주광역시 사회재난과,북구 두암동 893-33,북구 서방로148번길 9-1,2,200만,360도,30일,2019,35.169073,126.927995,2025-12-31
광주광역시 사회재난과,북구 두암동 893-33,북구 서방로148번길 9-1,1,200만,360도,30일,2022,35.169073,126.927995,2025-12-31
광주광역시 사회재난과,북구 두암동 893-33,북구 서방로148번길 9-1,1,200만,360도,30일,2024,35.169073,126.927995,2025-12-31
광주광역시 사회재난과,북구 두암동 898-15 ,북구 군왕로51번길 40,1,200만,360도,30일,2018,35.167107,126.930289,2025-12-31
